id,address,type
3166,"473 New Sudbury Street",Residential
3167,"1239 Matthews Street",Residential
3168,"76 Washington Place",Residential
3169,"77 Farragut Road",Residential
3170,"24 Park Street",Business
3171,"10 W Malden Street",Residential
3172,"17 Fay Street",Residential
3173,"83 Mechanic Court",Residential
3174,"9452 Farnsworth Street",Residential
3175,"2452 Moore Street",Residential
3176,"913 New Whitney Street",Business
3177,"6331 Pilsudski Way",Business
3178,"918 Putnam Avenue",Residential
3179,"653 US Highway 20",Business
3180,"198 Chatham Street",Residential
3181,"87 Charlesgate W",Residential
3182,"590 Shawmut Avenue",Residential
3183,"6 Eastern Avenue",Residential
3184,"260 Webb Park",Residential
3185,"52 Tufts Street",Residential
3186,"1976 Tide Street",Residential
3187,"113 Lagrange Street",Residential
3188,"40 W 2nd Street",Residential
3189,"41 North Street",Business
3190,"41 Central Square",Business
3191,"485 Blossom Court",Business
3192,"3394 Gaffney Street",Residential
3193,"112 Decatur Street",Business
3194,"299 London Street",Business
3195,"615 Soldiers Field Road",Residential
3196,"5802 Medford Street",Business
3197,"562 Binford Street",Residential
3198,"61 Revere Place",Residential
3199,"67 Hadassah Way",Business
3200,"31 Wareham Street",Residential
3201,"453 Cutler Court",Residential
3202,"3113 Queensberry Street",Residential
3203,"729 Gardner Place",Business
3204,"2 Webster Street",Business
3205,"851 Vinton Street",Residential
3206,"664 St Stephen Street",Residential
3207,"3782 Theodore Glynn Way",Residential
3208,"833 Orient Avenue",Residential
3209,"72 Channel Center Street",Residential
3210,"89 W 8th Street",Business
3211,"843 Forsyth Street",Business
3212,"52 Barnes Avenue",Residential
3213,"1013 E India Row",Business
3214,"893 Cross Street",Business
3215,"193 Unity Court",Business
3216,"25 Antrim Street",Residential
3217,"349 Avon Street",Residential
3218,"20 Greenwich Park",Business
3219,"3086 G Street",Residential
3220,"819 E Springfield Street",Residential
3221,"5 Beacon Street",Residential
3222,"801 Briggs Place",Residential
3223,"94 Salutation Street",Business
3224,"43 Otis Street",Business
3225,"9923 E 7th Street",Residential
3226,"409 Cross Street",Business
3227,"958 East Place",Residential
3228,"818 Grove Square",Business
3229,"38 P Street",Residential
3230,"87 W 4th Street",Business
3231,"662 Bridge Court",Residential
3232,"331 Traverse Street",Residential
3233,"53 McKinley Square",Residential
3234,"63 N Hanover Court",Residential
3235,"58 Arlington Street",Business
3236,"90 Essex Street",Residential
3237,"782 Lamson Street",Residential
3238,"859 Cross Street",Business
3239,"30 Atlantic Avenue",Residential
3240,"65 Saint Andrew Road",Residential
3241,"1819 Norway Street",Business
3242,"2808 Andrew Square",Residential
3243,"45 Central Wharf",Residential
3244,"4 E 3rd Street",Residential
3245,"461 A Street",Residential
3246,"2822 Henchman Street",Business
3247,"29 Commercial Wharf",Residential
3248,"26 Holyoke Street",Business
3249,"2479 C Street",Residential
3250,"74 E 6th Street",Residential
3251,"736 Otis Street",Residential
3252,"92 Linley Terrace",Business
3253,"57 London Court",Residential
3254,"434 Bremen Street",Residential
3255,"352 Fairfield Place",Business
3256,"535 Curtis Street",Residential
3257,"17 Silver Street",Business
3258,"141 Mason Street",Residential
3259,"33 W 1st Street",Residential
3260,"42 Everett Street",Business
3261,"77 Norway Street",Business
3262,"3277 Harvard Way",Residential
3263,"2583 Prince Street",Residential
3264,"85 Winfield Street",Residential
3265,"305 Marion Place",Business
3266,"8971 W Canton Street",Business
3267,"56 Lewis Street",Residential
3268,"737 E Brookline Street",Business
3269,"739 Paris Place",Residential
3270,"941 Corey Avenue",Business
3271,"73 Orleans Street",Residential
3272,"218 North Street",Business
3273,"65 Westbrook Street",Residential
3274,"3103 Exeter Place",Business
3275,"25 K Street Place",Business
3276,"656 Lewis Street",Residential
3277,"65 North Square",Business
3278,"40 Palermo Street",Business
3279,"23 Park Drive",Residential
3280,"12 Andrews Place",Residential
3281,"857 Gove Street",Business
3282,"283 L Street",Business
3283,"3541 Haviland Street",Residential
3284,"0 Woodward Place",Business
3285,"135 Federal Street",Residential
3286,"568 N Bennet Place",Residential
3287,"23 Scott Alley",Business
3288,"50 Leverett Avenue",Business
3289,"52 Maverick Square",Business
3290,"41 Pinckney Street",Residential
3291,"90 Park Drive",Residential
3292,"4 Wendell Street",Residential
3293,"912 Geneva Street",Business
3294,"52 Commercial Wharf W",Residential
3295,"9325 Gloucester Street",Business
3296,"9629 Massachusetts Avenue",Residential
3297,"488 Princeton Place",Residential
3298,"79 Summer Street",Business
3299,"10 Kilmarnock Street",Residential
3300,"9145 Lovejoy Place",Business
3301,"696 Albemarle Street",Residential
3302,"96 Linsky Barry Court",Residential
3303,"50 Ash Street",Residential
3304,"972 Channel Street",Residential
3305,"18 Butler Place",Business
3306,"40 Capstan Way",Residential
3307,"20 Mount Vernon Street",Business
3308,"819 Summer Street",Residential
3309,"812 Cypher Street",Residential
3310,"5388 Lewis Street",Residential
3311,"7303 Gillette Park",Business
3312,"44 Mount Washington Place",Residential
3313,"11 Michelangelo Street",Residential
3314,"848 Father Francis Gilday Street",Residential
3315,"455 Barnes Avenue",Residential
3316,"22 Boylston Place",Business
3317,"85 Taylor Street",Business
3318,"74 McCormack Square",Residential
3319,"2670 Porter Place",Residential
3320,"13 Goodwin Court",Residential
3321,"65 O Street",Residential
3322,"3 Onslow Terrace",Residential
3323,"72 E 4th Street",Residential
3324,"2 Porter Street",Residential
3325,"20 Loring Street",Residential
3326,"167 Topeka Street",Residential
3327,"5479 Carpenter Street",Residential
3328,"93 Avery Street",Business
3329,"25 Crowley Rogers Way",Business
3330,"74 State Route 28",Residential
3331,"311 Warrenton Place",Residential
3332,"5267 Head Place",Business
3333,"29 Devonshire Street",Residential
3334,"757 Laconia Street",Business
3335,"50 Village Court",Business
3336,"76 Charles Street",Residential
3337,"825 N Market Street",Residential
3338,"3813 Taylor Street",Business
3339,"11 Dixfield Street",Business
3340,"994 Albemarle Terrace",Business
3341,"71 Cumston Street",Residential
3342,"4664 Beckler Avenue",Residential
3343,"78 Worcester Street",Business
3344,"955 Winfield Street",Business
3345,"6 Gladstone Street",Residential
3346,"644 Warrenton Street",Residential
3347,"64 Dyer Avenue",Residential
3348,"3 Schrepel Place",Residential
3349,"9 Parmenter Street",Business
3350,"581 Newland Street",Business
3351,"286 Agassiz Road",Residential
3352,"24 Charlestown Brg",Business
3353,"27 Lathrop Place",Business
3354,"77 Lomasney Way",Residential
3355,"321 Waltham Street",Residential
3356,"4 Marlborough Street",Residential
3357,"59 Traverse Street",Residential
3358,"767 L Street",Residential
3359,"16 Glendon Street",Residential
3360,"508 Tufts Street",Residential
3361,"15 Lilly Street",Residential
3362,"189 E Street",Residential
3363,"652 Gridley Street",Business
3364,"31 Blandford Street",Residential
3365,"42 Burke Street",Residential
3366,"806 Holyoke Street",Residential
3367,"143 Jenkins Street",Residential
3368,"931 Hull Street",Business
3369,"319 Logan Way",Business
3370,"297 Worcester Street",Business
3371,"23 Parmelee Street",Residential
3372,"53 Lawrence Street",Business
3373,"260 Chandler Street",Residential
3374,"819 Rice Street",Business
3375,"967 Frankfort Street",Residential
3376,"215 Avon Street",Business
3377,"903 Saint George Street",Residential
3378,"579 Newhill Place",Residential
3379,"764 Eliot Street",Business
3380,"15 Lyndeboro Place",Residential
3381,"979 Avenue Louis Pasteur",Business
3382,"3208 W 7th Street",Residential
3383,"15 Yarmouth Place",Residential
3384,"720 Lindall Court",Residential
3385,"6958 Landing Street",Residential
3386,"85 Capstan Way",Residential
3387,"123 Summer Street",Residential
3388,"602 Norcross Place",Business
3389,"46 Traverse Street",Residential
3390,"16 E India Row",Business
3391,"56 Transit Street",Residential
3392,"3 Massachusetts Avenue",Residential
3393,"496 Congress Street",Residential
3394,"591 Linsky Barry Court",Residential
3395,"48 Harbor Street",Residential
3396,"46 Avenue of the Arts",Residential
3397,"1756 Deaconess Road",Residential
3398,"77 St Albans Road",Business
3399,"4761 Burbank Street",Residential
3400,"338 Neptune Terrace",Residential
3401,"95 New Sudbury Street",Warehouse
3402,"241 Bellingham Place",Residential
3403,"8881 Cypher Street",Residential
3404,"45 Mission Park Drive",Residential
3405,"78 Lewis Street",Warehouse
3406,"660 Foster Street",Business
3407,"850 Arlington Street",Residential
3408,"230 Lovis Street",Residential
3409,"16 Unity Street",Business
3410,"920 Neptune Court",Residential
3411,"89 E 2nd Street",Residential
3412,"87 Well Street",Residential
3413,"88 Hersey Place",Residential
3414,"59 Henderson Avenue",Residential
3415,"1420 Yard Way",Business
3416,"9 William F McClellan Highway",Residential
3417,"95 Silver Street",Residential
3418,"1726 State Route 9",Residential
3419,"94 Shawmut Avenue",Residential
3420,"96 Flaherty Way",Residential
3421,"116 Msgr Albert A Jacobbe Road",Business
3422,"11 N Margin Street",Business
3423,"470 Faywood Avenue",Residential
3424,"19 Burnham Place",Business
3425,"4946 Harrison Avenue",Residential
3426,"79 Gillette Park",Residential
3427,"316 Park Plaza",Residential
3428,"4 Pemberton Square",Business
3429,"7489 Ewer Street",Residential
3430,"207 Butler Place",Residential
3431,"309 Claremont Park",Residential
3432,"30 Avenue de Lafayette",Residential
3433,"158 Pearl Place",Residential
3434,"1836 N Margin Street",Business
3435,"3932 Swallow Street",Residential
3436,"96 Brookwood Terrace",Business
3437,"398 Maverick Square",Residential
3438,"978 Village Court",Business
3439,"57 Central Square",Residential
3440,"90 Lillian Street",Business
3441,"3995 N Commercial Wharf",Business
3442,"134 Webster Place",Business
3443,"414 Marshall Street",Residential
3444,"11 Ward Court",Business
3445,"33 Murray Court",Residential
3446,"87 Ridgeway Lane",Residential
3447,"72 E Canton Street",Business
3448,"495 Arlington Street",Business
3449,"66 Hanson Street",Residential
3450,"54 Garden Ct Street",Residential
3451,"493 Cleveland Place",Residential
3452,"175 Montgomery Street",Business
3453,"889 Peterborough Street",Residential
3454,"15 State Route 28",Residential
3455,"16 Cypher Street",Business
3456,"408 Devonshire Street",Business
3457,"10 Moore Street",Business
3458,"97 Lincoln Street",Business
3459,"606 Farragut Road",Residential
3460,"4 Bowker Street",Residential
3461,"713 Dilworth Street",Residential
3462,"95 Longfellow Place",Business
3463,"1884 Anchor Way",Residential
3464,"25 Piedmont Street",Business
3465,"56 Thacher Court",Business
3466,"2281 Charlesgate",Residential
3467,"161 M Street Place",Residential
3468,"746 Rowes Wharf",Residential
3469,"167 Summer Street",Residential
3470,"3092 Vining Street",Residential
3471,"671 W 4th Street",Residential
3472,"5387 Bennet Street",Residential
3473,"484 N Bennet Street",Residential
3474,"701 W Canton Street",Residential
3475,"5 Topeka Street",Residential
3476,"4225 Chatham Street",Residential
3477,"692 Harvard Street",Residential
3478,"897 Eliot Place",Business
3479,"8756 Park Plaza",Residential
3480,"38 Fayette Street",Business
3481,"11 Charles River Dam",Residential
3482,"11 Albemarle Court",Residential
3483,"972 Monks Street",Business
3484,"227 Water Street",Business
3485,"53 Murray Court",Business
3486,"564 Jenkins Street",Residential
3487,"50 Byron Street",Residential
3488,"3702 New Edgerly Road",Residential
3489,"731 Groton Street",Business
3490,"91 Ballard Way",Residential
3491,"3930 Kempton Street",Residential
3492,"558 Lewis Street",Residential
3493,"1716 Marlborough Street",Business
3494,"49 Old Atlantic Avenue",Business
3495,"879 India Street",Residential
3496,"9297 Leyden Street",Residential
3497,"30 Brimmer Street",Business
3498,"203 Lawson Place",Residential
3499,"803 Pages Court",Residential
3500,"14 Clyde Street",Residential
3501,"2518 Charles River Dam",Residential
3502,"556 Utica Street",Residential
3503,"53 St Charles Street",Business
3504,"6324 Stoughton Street",Residential
3505,"71 Butland Court",Business
3506,"413 Dixfield Street",Residential
3507,"39 Essex Street",Business
3508,"559 Cleveland Place",Residential
3509,"835 Commercial Wharf W",Residential
3510,"86 N Anderson Street",Residential
3511,"13 Scott Place",Residential
3512,"272 Sumner Street",Business
3513,"90 F Street",Residential
3514,"254 St Edward Road",Business
3515,"2991 Battery Street",Business
3516,"468 Oconnor Way",Business
3517,"2367 Flint Place",Business
3518,"934 New Sudbury Street",Residential
3519,"2662 Porter Street Exd",Residential
3520,"26 Palermo Street",Business
3521,"625 Henry Street",Business
3522,"239 Lubec Street",Residential
3523,"677 St Charles Street",Residential
3524,"68 Cahners Place",Residential
3525,"16 Nancia Street",Residential
3526,"242 Gage Street",Residential
3527,"344 Morton Place",Business
3528,"57 Tremont Street",Residential
3529,"782 Lennon Court",Business
3530,"37 Carleton Street",Residential
3531,"5322 Stillman Place",Residential
3532,"57 Hamlin Street",Business
3533,"795 Garden Arch",Residential
3534,"30 Creek Square",Residential
3535,"1697 Dingley Place",Business
3536,"28 Baldwin Place",Residential
3537,"34 Garden Arch",Residential
3538,"124 National Street",Business
3539,"8 Derne Street",Business
3540,"29 James Street",Business
3541,"885 Central Wharf",Residential
3542,"1666 Pemberton Square",Residential
3543,"6969 Tetlow Street",Residential
3544,"431 Traveler Street",Business
3545,"499 Oconnor Way",Residential
3546,"133 Noyes Place",Residential
3547,"270 Wellington Road",Residential
3548,"64 C Street",Business
